15400100093101,COLEGIO MUNICIPAL MARÍA CONCEPCIÓN LOPERENA,A,URBANA,EDUCACIÓN TRADICIONAL,154001000931
15400100227601,COL GONZALO RIVERA LAGUADO,A,URBANA,EDUCACIÓN TRADICIONAL,154001002276
45400100671208,COL BAS SAN JOSE DE LA VEGA,A,RURAL,ESCUELA NUEVA,454001006712
15400100003603,ESC PABLO VI NO 43,A,URBANA,EDUCACIÓN TRADICIONAL,154001000036
15400100849503,COL BAS LOS ALPES,A,URBANA,EDUCACIÓN TRADICIONAL,154001008495
15400100798703,ESC CARLOS RAMIREZ PARIS NO 78,A,URBANA,EDUCACIÓN TRADICIONAL,154001007987
15400101044904,CENT DOC NUEVO MILENIO,A,URBANA,EDUCACIÓN TRADICIONAL,154001010449
15400100900903,ESC URB  NO 31 JOSE CELESTINO MUTIS,A,URBANA,EDUCACIÓN TRADICIONAL,154001009009
15400100897501,COL TOLEDO PLATA,A,URBANA,EDUCACIÓN TRADICIONAL,154001008975
15400100078801,COL CLUB DE LEONES,A,URBANA,EDUCACIÓN TRADICIONAL,154001000788
15400100900901,COL LOS SANTOS APOSTOLES,A,URBANA,EDUCACIÓN TRADICIONAL,154001009009
15400100794404,ESC URB LAURA VICUÑA,A,URBANA,EDUCACIÓN TRADICIONAL,154001007944
35400101202501,COLEGIO BICENTENARIO - SEDE PRINCIPAL,A,URBANA,EDUCACIÓN TRADICIONAL,354001012025
15400101044901,I.E. MISAEL PASTRANA BORRERO - SEDE PRINCIPAL,A,URBANA,EDUCACIÓN TRADICIONAL,154001010449
15400100429501,COL ORIENTAL NO 26,A,URBANA,EDUCACIÓN TRADICIONAL,154001004295
15400100297702,COL HERMOGENES MAZA,A,URBANA,EDUCACIÓN TRADICIONAL,154001002977
15400100003601,COL JAIME GARZON ,A,URBANA,EDUCACIÓN TRADICIONAL,154001000036
15400100758801,COL PBRO DANIEL JORDAN,A,URBANA,EDUCACIÓN TRADICIONAL,154001007588
15400100434102,COL HERMANO RODULFO ELOY,A,URBANA,EDUCACIÓN TRADICIONAL,154001004341
15400100520801,I.E. JUAN PABLO I - SEDE PRINCIPAL,A,URBANA,EDUCACIÓN TRADICIONAL,154001005208
15400100377905,ESC URB  GABRIEL GARCIA MARQUEZ NO 79,A,URBANA,EDUCACIÓN TRADICIONAL,154001003779
15400100342602,COL MONSEÑOR LUIS PEREZ HERNANDEZ,A,URBANA,EDUCACIÓN TRADICIONAL,154001003426
35400101217301,I.E. MONSEÑOR JAIME PRIETO AMAYA - SEDE PRINCIPAL,A,URBANA,EDUCACIÓN TRADICIONAL,354001012173
15400100533001,COL JUANA RANGEL DE CUELLAR,A,URBANA,EDUCACIÓN TRADICIONAL,154001005330
35400100682301,COL NSTRA SRA DE FATIMA,A,URBANA,EDUCACIÓN TRADICIONAL,354001006823
15400100342605,ESC URB JOSE BARTOLOME CELIS,A,URBANA,EDUCACIÓN TRADICIONAL,154001003426
15400180013001,INSTITUCION EDUCATIVA PEDRO CUADRO HERRERA - SEDE PRINCIPAL,A,URBANA,EDUCACIÓN TRADICIONAL,154001800130
15400100434103,ESC SAN VICENTE DE PAUL NO 80,A,URBANA,EDUCACIÓN TRADICIONAL,154001004341
15400100779101,COL LUIS CARLOS GALAN SARMIENTO,A,URBANA,EDUCACIÓN TRADICIONAL,154001007791
15400100433304,ESC DON BOSCO NO 88,A,URBANA,EDUCACIÓN TRADICIONAL,154001004333
15400100585201,COL PABLO CORREA LEON,A,URBANA,EDUCACIÓN TRADICIONAL,154001005852
15400100008701,NORMAL SUPERIOR MARIA AUXILIADORA,A,URBANA,EDUCACIÓN TRADICIONAL,154001000087
15400100815103,ESC  NSTRA SRA DEL ROSARIO NO 27,A,URBANA,EDUCACIÓN TRADICIONAL,154001008151
15400100297701,INST TEC GUAIMARAL,A,URBANA,EDUCACIÓN TRADICIONAL,154001002977
15400100433302,INST TEC NSTRA SRA DE MONGUI,A,URBANA,EDUCACIÓN TRADICIONAL,154001004333
15400100433305,ESC  RAFAEL POMBO NO 74,A,URBANA,EDUCACIÓN TRADICIONAL,154001004333
15400100895904,ESC URB VARONES NO 28 ATANASIO GIRARDOT,A,URBANA,EDUCACIÓN TRADICIONAL,154001008959
15400100901701,INST EDUC COL EUSTORGIO COLMENARES BAPTISTA,A,URBANA,EDUCACIÓN TRADICIONAL,154001009017
15400100471601,COL SAN JOSÉ DE CÚCUTA - SEDE PRINCIPAL,A,URBANA,EDUCACIÓN TRADICIONAL,154001004716
15400100164404,PREESC MIS ALEGRIAS,A,URBANA,EDUCACIÓN TRADICIONAL,154001001644
15400100001001,INST TEC NACIONAL DE COMERCIO,A,URBANA,EDUCACIÓN TRADICIONAL,154001000010
15400100246203,SEDE TRES NUEVO HORIZONTE,A,URBANA,EDUCACIÓN TRADICIONAL,154001002462
15400100779103,ESC URB ALIANZA PARA EL PROGRESO NO 36,A,URBANA,EDUCACIÓN TRADICIONAL,154001007791
15400100078804,CENT DOC SANTA ANA NO 1,A,URBANA,EDUCACIÓN TRADICIONAL,154001000788
